dest,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
34003001000,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996,293.52599599999996
34003002200,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805,401.021805
34003003200,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001,112.37795200000001
34003003300,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104,1308.66104
34003003401,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468,986.20468
34003003402,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995,7475.0484799999995
34003003500,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128,1029.9128
34003004001,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418,259.66418
34003004002,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832,1478.92832
34003006100,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073,3042.07073
34003006202,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307,2242.62307
34003006300,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002,108.30946000000002
34003007001,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998,1023.8264299999998
34003007002,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542,1271.3542
34003008000,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058,414.76058
34003010300,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134,1043.67134
34003011200,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812,516.7812
34003013001,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346,313.96346
34003013002,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352,446.35352
34003014000,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465,2317.0465
34003015200,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647,1147.799647
34003015300,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111,1173.111
34003015500,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066,828.58066
34003016000,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229,179.33229
34003017100,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737,1328.396737
